frame_idx,gen_time,fetch_time,preprocess_time,render_time,total_time,sleep_time,end_to_end_time,datasize,quality_level,quant_mask,diff_thresh
80,0.004758,0.001819,0.024679,0.006940,0.038196,0.000000,0.038196,2057127,2,248,10
81,0.008540,0.002070,0.021897,0.008544,0.041051,0.000000,0.041051,2062721,2,248,10
82,0.003645,0.002198,0.021427,0.008381,0.035652,0.000000,0.035652,2085217,2,248,10
83,0.002957,0.002578,0.025212,0.009160,0.039907,0.000000,0.039907,2086782,2,248,10
84,0.002556,0.002104,0.027192,0.006916,0.038769,0.000000,0.038769,2068860,2,248,10
85,0.003492,0.002016,0.026229,0.005843,0.037580,0.000000,0.037580,2003413,2,248,10
86,0.004006,0.001529,0.026037,0.005981,0.037552,0.000000,0.037552,1971551,2,248,10
87,0.006471,0.001419,0.024926,0.006603,0.039418,0.000000,0.039418,1998112,2,248,10
88,0.007938,0.001851,0.021784,0.006181,0.037754,0.000000,0.037754,2045991,2,248,10
89,0.003433,0.001607,0.022829,0.008743,0.036612,0.000000,0.036612,2041631,2,248,10
90,0.003468,0.002880,0.024104,0.006349,0.036800,0.000000,0.036800,2024162,2,248,10
91,0.002735,0.001914,0.026985,0.007939,0.039573,0.000000,0.039573,2018497,2,248,10
92,0.003148,0.002247,0.027516,0.005952,0.038863,0.000000,0.038863,1997935,2,248,10
93,0.003706,0.001699,0.025146,0.008526,0.039077,0.000000,0.039077,2000820,2,248,10
94,0.004444,0.002453,0.024754,0.008571,0.040222,0.000000,0.040222,1967133,2,248,10
95,0.005894,0.002735,0.023469,0.005765,0.037864,0.000000,0.037864,1975672,2,248,10
96,0.004943,0.001659,0.023346,0.009299,0.039248,0.000000,0.039248,1985615,2,248,10
97,0.003059,0.002944,0.021778,0.007545,0.035326,0.000000,0.035326,2007139,2,248,10
98,0.002673,0.001777,0.027939,0.007277,0.039667,0.000000,0.039667,1971817,2,248,10
99,0.003156,0.001774,0.027575,0.007002,0.039507,0.000000,0.039507,2026547,2,248,10
100,0.002978,0.001377,0.026044,0.009643,0.040042,0.000000,0.040042,2087837,2,248,10
101,0.005692,0.001728,0.023984,0.019754,0.051158,0.000000,0.051158,2116692,2,248,10
102,0.008170,0.001911,0.023376,0.019564,0.053022,0.000000,0.053022,2153028,2,248,10
